file1, file2, similarity
b1.bmp, b2.bmp, 0.987841
b1.bmp, b3.bmp, 0.987965
b1.bmp, b4.bmp, 0.987911
b1.bmp, b5.bmp, 0.852919
b1.bmp, bin1.bmp, 0.867824
b1.bmp, bin2.bmp, 0.86386
b1.bmp, bin3.bmp, 0.878243
b1.bmp, bin4.bmp, 0.879073
b1.bmp, bin5.bmp, 0.842114
b1.bmp, i1.bmp, 0.907201
b1.bmp, i2.bmp, 0.908078
b1.bmp, i3.bmp, 0.936858
b1.bmp, i4.bmp, 0.906648
b1.bmp, i5.bmp, 0.901276
b2.bmp, b3.bmp, 0.999775
b2.bmp, b4.bmp, 0.998764
b2.bmp, b5.bmp, 0.862623
b2.bmp, bin1.bmp, 0.857577
b2.bmp, bin2.bmp, 0.853629
b2.bmp, bin3.bmp, 0.878324
b2.bmp, bin4.bmp, 0.870268
b2.bmp, bin5.bmp, 0.831404
b2.bmp, i1.bmp, 0.906697
b2.bmp, i2.bmp, 0.905504
b2.bmp, i3.bmp, 0.936753
b2.bmp, i4.bmp, 0.906107
b2.bmp, i5.bmp, 0.903446
b3.bmp, b4.bmp, 0.998886
b3.bmp, b5.bmp, 0.86259
b3.bmp, bin1.bmp, 0.857685
b3.bmp, bin2.bmp, 0.853738
b3.bmp, bin3.bmp, 0.878468
b3.bmp, bin4.bmp, 0.870345
b3.bmp, bin5.bmp, 0.831519
b3.bmp, i1.bmp, 0.906773
b3.bmp, i2.bmp, 0.905575
b3.bmp, i3.bmp, 0.936805
b3.bmp, i4.bmp, 0.906195
b3.bmp, i5.bmp, 0.903549
b4.bmp, b5.bmp, 0.862532
b4.bmp, bin1.bmp, 0.857581
b4.bmp, bin2.bmp, 0.853634
b4.bmp, bin3.bmp, 0.878577
b4.bmp, bin4.bmp, 0.870189
b4.bmp, bin5.bmp, 0.831509
b4.bmp, i1.bmp, 0.90703
b4.bmp, i2.bmp, 0.905832
b4.bmp, i3.bmp, 0.937061
b4.bmp, i4.bmp, 0.906529
b4.bmp, i5.bmp, 0.903932
b5.bmp, bin1.bmp, 0.768896
b5.bmp, bin2.bmp, 0.765041
b5.bmp, bin3.bmp, 0.812001
b5.bmp, bin4.bmp, 0.780941
b5.bmp, bin5.bmp, 0.740332
b5.bmp, i1.bmp, 0.892413
b5.bmp, i2.bmp, 0.888966
b5.bmp, i3.bmp, 0.89582
b5.bmp, i4.bmp, 0.886973
b5.bmp, i5.bmp, 0.887984
bin1.bmp, bin2.bmp, 0.992609
bin1.bmp, bin3.bmp, 0.923746
bin1.bmp, bin4.bmp, 0.958644
bin1.bmp, bin5.bmp, 0.964484
bin1.bmp, i1.bmp, 0.860044
bin1.bmp, i2.bmp, 0.863221
bin1.bmp, i3.bmp, 0.853533
bin1.bmp, i4.bmp, 0.862622
bin1.bmp, i5.bmp, 0.856224
bin2.bmp, bin3.bmp, 0.918475
bin2.bmp, bin4.bmp, 0.954172
bin2.bmp, bin5.bmp, 0.968118
bin2.bmp, i1.bmp, 0.857093
bin2.bmp, i2.bmp, 0.860269
bin2.bmp, i3.bmp, 0.849761
bin2.bmp, i4.bmp, 0.859671
bin2.bmp, i5.bmp, 0.853273
bin3.bmp, bin4.bmp, 0.944115
bin3.bmp, bin5.bmp, 0.889568
bin3.bmp, i1.bmp, 0.865482
bin3.bmp, i2.bmp, 0.862705
bin3.bmp, i3.bmp, 0.867595
bin3.bmp, i4.bmp, 0.867278
bin3.bmp, i5.bmp, 0.872699
bin4.bmp, bin5.bmp, 0.938141
bin4.bmp, i1.bmp, 0.8641
bin4.bmp, i2.bmp, 0.865953
bin4.bmp, i3.bmp, 0.861887
bin4.bmp, i4.bmp, 0.866546
bin4.bmp, i5.bmp, 0.860936
bin5.bmp, i1.bmp, 0.833809
bin5.bmp, i2.bmp, 0.837085
bin5.bmp, i3.bmp, 0.826248
bin5.bmp, i4.bmp, 0.836371
bin5.bmp, i5.bmp, 0.829918
i1.bmp, i2.bmp, 0.996019
i1.bmp, i3.bmp, 0.964873
i1.bmp, i4.bmp, 0.9904
i1.bmp, i5.bmp, 0.986384
i2.bmp, i3.bmp, 0.963526
i2.bmp, i4.bmp, 0.989951
i2.bmp, i5.bmp, 0.985177
i3.bmp, i4.bmp, 0.956952
i3.bmp, i5.bmp, 0.952774
i4.bmp, i5.bmp, 0.993393
