file1, file2, similarity
b1.bmp, b2.bmp, 0.987841
b1.bmp, b3.bmp, 0.987965
b1.bmp, b4.bmp, 0.987911
b1.bmp, b5.bmp, 0.852919
b1.bmp, i1.bmp, 0.907201
b1.bmp, i2.bmp, 0.908078
b1.bmp, i3.bmp, 0.936858
b1.bmp, i4.bmp, 0.906648
b1.bmp, i5.bmp, 0.901276
b2.bmp, b3.bmp, 0.999775
b2.bmp, b4.bmp, 0.998764
b2.bmp, b5.bmp, 0.862623
b2.bmp, i1.bmp, 0.906697
b2.bmp, i2.bmp, 0.905504
b2.bmp, i3.bmp, 0.936753
b2.bmp, i4.bmp, 0.906107
b2.bmp, i5.bmp, 0.903446
b3.bmp, b4.bmp, 0.998886
b3.bmp, b5.bmp, 0.86259
b3.bmp, i1.bmp, 0.906773
b3.bmp, i2.bmp, 0.905575
b3.bmp, i3.bmp, 0.936805
b3.bmp, i4.bmp, 0.906195
b3.bmp, i5.bmp, 0.903549
b4.bmp, b5.bmp, 0.862532
b4.bmp, i1.bmp, 0.90703
b4.bmp, i2.bmp, 0.905832
b4.bmp, i3.bmp, 0.937061
b4.bmp, i4.bmp, 0.906529
b4.bmp, i5.bmp, 0.903932
b5.bmp, i1.bmp, 0.892413
b5.bmp, i2.bmp, 0.888966
b5.bmp, i3.bmp, 0.89582
b5.bmp, i4.bmp, 0.886973
b5.bmp, i5.bmp, 0.887984
i1.bmp, i2.bmp, 0.996019
i1.bmp, i3.bmp, 0.964873
i1.bmp, i4.bmp, 0.9904
i1.bmp, i5.bmp, 0.986384
i2.bmp, i3.bmp, 0.963526
i2.bmp, i4.bmp, 0.989951
i2.bmp, i5.bmp, 0.985177
i3.bmp, i4.bmp, 0.956952
i3.bmp, i5.bmp, 0.952774
i4.bmp, i5.bmp, 0.993393
