file1, file2, similarity
b1_gray.bmp, b2_gray.bmp, 0.910931
b1_gray.bmp, b3_gray.bmp, 0.906048
b1_gray.bmp, b4_gray.bmp, 0.90583
b1_gray.bmp, b5_gray.bmp, 0.0881253
b1_gray.bmp, i1_gray.bmp, 0.105286
b1_gray.bmp, i2_gray.bmp, 0.108932
b1_gray.bmp, i3_gray.bmp, 0.120945
b1_gray.bmp, i4_gray.bmp, 0.106013
b1_gray.bmp, i5_gray.bmp, 0.103818
b2_gray.bmp, b3_gray.bmp, 0.983528
b2_gray.bmp, b4_gray.bmp, 0.981333
b2_gray.bmp, b5_gray.bmp, 0.0874851
b2_gray.bmp, i1_gray.bmp, 0.107299
b2_gray.bmp, i2_gray.bmp, 0.107434
b2_gray.bmp, i3_gray.bmp, 0.118675
b2_gray.bmp, i4_gray.bmp, 0.108033
b2_gray.bmp, i5_gray.bmp, 0.105029
b3_gray.bmp, b4_gray.bmp, 0.981081
b3_gray.bmp, b5_gray.bmp, 0.0871566
b3_gray.bmp, i1_gray.bmp, 0.107724
b3_gray.bmp, i2_gray.bmp, 0.107388
b3_gray.bmp, i3_gray.bmp, 0.118367
b3_gray.bmp, i4_gray.bmp, 0.10846
b3_gray.bmp, i5_gray.bmp, 0.105456
b4_gray.bmp, b5_gray.bmp, 0.0875551
b4_gray.bmp, i1_gray.bmp, 0.107755
b4_gray.bmp, i2_gray.bmp, 0.107419
b4_gray.bmp, i3_gray.bmp, 0.118658
b4_gray.bmp, i4_gray.bmp, 0.108491
b4_gray.bmp, i5_gray.bmp, 0.105486
b5_gray.bmp, i1_gray.bmp, 0.113211
b5_gray.bmp, i2_gray.bmp, 0.120223
b5_gray.bmp, i3_gray.bmp, 0.120035
b5_gray.bmp, i4_gray.bmp, 0.112363
b5_gray.bmp, i5_gray.bmp, 0.110607
i1_gray.bmp, i2_gray.bmp, 0.850291
i1_gray.bmp, i3_gray.bmp, 0.130315
i1_gray.bmp, i4_gray.bmp, 0.895446
i1_gray.bmp, i5_gray.bmp, 0.867977
i2_gray.bmp, i3_gray.bmp, 0.130408
i2_gray.bmp, i4_gray.bmp, 0.840113
i2_gray.bmp, i5_gray.bmp, 0.780196
i3_gray.bmp, i4_gray.bmp, 0.114569
i3_gray.bmp, i5_gray.bmp, 0.112276
i4_gray.bmp, i5_gray.bmp, 0.87636
