file1, file2, similarity
b1.bmp, b2.bmp, 0.910931
b1.bmp, b3.bmp, 0.906048
b1.bmp, b4.bmp, 0.90583
b1.bmp, b5.bmp, 0.0881253
b1.bmp, i1.bmp, 0.105286
b1.bmp, i2.bmp, 0.108932
b1.bmp, i3.bmp, 0.120945
b1.bmp, i4.bmp, 0.106013
b1.bmp, i5.bmp, 0.103818
b2.bmp, b3.bmp, 0.983528
b2.bmp, b4.bmp, 0.981333
b2.bmp, b5.bmp, 0.0874851
b2.bmp, i1.bmp, 0.107299
b2.bmp, i2.bmp, 0.107434
b2.bmp, i3.bmp, 0.118675
b2.bmp, i4.bmp, 0.108033
b2.bmp, i5.bmp, 0.105029
b3.bmp, b4.bmp, 0.981081
b3.bmp, b5.bmp, 0.0871566
b3.bmp, i1.bmp, 0.107724
b3.bmp, i2.bmp, 0.107388
b3.bmp, i3.bmp, 0.118367
b3.bmp, i4.bmp, 0.10846
b3.bmp, i5.bmp, 0.105456
b4.bmp, b5.bmp, 0.0875551
b4.bmp, i1.bmp, 0.107755
b4.bmp, i2.bmp, 0.107419
b4.bmp, i3.bmp, 0.118658
b4.bmp, i4.bmp, 0.108491
b4.bmp, i5.bmp, 0.105486
b5.bmp, i1.bmp, 0.113211
b5.bmp, i2.bmp, 0.120223
b5.bmp, i3.bmp, 0.120035
b5.bmp, i4.bmp, 0.112363
b5.bmp, i5.bmp, 0.110607
i1.bmp, i2.bmp, 0.850291
i1.bmp, i3.bmp, 0.130315
i1.bmp, i4.bmp, 0.895446
i1.bmp, i5.bmp, 0.867977
i2.bmp, i3.bmp, 0.130408
i2.bmp, i4.bmp, 0.840113
i2.bmp, i5.bmp, 0.780196
i3.bmp, i4.bmp, 0.114569
i3.bmp, i5.bmp, 0.112276
i4.bmp, i5.bmp, 0.87636
