file1, file2, similarity
b1.bmp, b2.bmp, 0.939227
b1.bmp, b3.bmp, 0.931951
b1.bmp, b4.bmp, 0.938235
b1.bmp, b5.bmp, 0.638158
b1.bmp, bfs1.bmp, 0.545813
b1.bmp, bfs2.bmp, 0.559252
b1.bmp, bfs3.bmp, 0.538504
b1.bmp, bfs4.bmp, 0.583999
b1.bmp, bfs5.bmp, 0.543207
b1.bmp, bin1.bmp, 0.603744
b1.bmp, bin2.bmp, 0.608344
b1.bmp, bin3.bmp, 0.563627
b1.bmp, bin4.bmp, 0.576402
b1.bmp, bin5.bmp, 0.58675
b1.bmp, dfs1.bmp, 0.544649
b1.bmp, dfs2.bmp, 0.568848
b1.bmp, dfs3.bmp, 0.603449
b1.bmp, dfs4.bmp, 0.556214
b1.bmp, dfs5.bmp, 0.600129
b1.bmp, i1.bmp, 0.650604
b1.bmp, i2.bmp, 0.651684
b1.bmp, i3.bmp, 0.690996
b1.bmp, i4.bmp, 0.669576
b1.bmp, i5.bmp, 0.673338
b2.bmp, b3.bmp, 0.990266
b2.bmp, b4.bmp, 0.995772
b2.bmp, b5.bmp, 0.641911
b2.bmp, bfs1.bmp, 0.543141
b2.bmp, bfs2.bmp, 0.531491
b2.bmp, bfs3.bmp, 0.548821
b2.bmp, bfs4.bmp, 0.59526
b2.bmp, bfs5.bmp, 0.518222
b2.bmp, bin1.bmp, 0.599669
b2.bmp, bin2.bmp, 0.591579
b2.bmp, bin3.bmp, 0.576328
b2.bmp, bin4.bmp, 0.572903
b2.bmp, bin5.bmp, 0.59519
b2.bmp, dfs1.bmp, 0.555635
b2.bmp, dfs2.bmp, 0.542555
b2.bmp, dfs3.bmp, 0.588171
b2.bmp, dfs4.bmp, 0.567762
b2.bmp, dfs5.bmp, 0.584661
b2.bmp, i1.bmp, 0.650805
b2.bmp, i2.bmp, 0.663053
b2.bmp, i3.bmp, 0.6905
b2.bmp, i4.bmp, 0.682462
b2.bmp, i5.bmp, 0.674448
b3.bmp, b4.bmp, 0.989421
b3.bmp, b5.bmp, 0.635483
b3.bmp, bfs1.bmp, 0.549531
b3.bmp, bfs2.bmp, 0.537872
b3.bmp, bfs3.bmp, 0.555214
b3.bmp, bfs4.bmp, 0.60165
b3.bmp, bfs5.bmp, 0.511901
b3.bmp, bin1.bmp, 0.593335
b3.bmp, bin2.bmp, 0.597943
b3.bmp, bin3.bmp, 0.582701
b3.bmp, bin4.bmp, 0.579257
b3.bmp, bin5.bmp, 0.601558
b3.bmp, dfs1.bmp, 0.562024
b3.bmp, dfs2.bmp, 0.548901
b3.bmp, dfs3.bmp, 0.594647
b3.bmp, dfs4.bmp, 0.574153
b3.bmp, dfs5.bmp, 0.591065
b3.bmp, i1.bmp, 0.65727
b3.bmp, i2.bmp, 0.669422
b3.bmp, i3.bmp, 0.696808
b3.bmp, i4.bmp, 0.688932
b3.bmp, i5.bmp, 0.680923
b4.bmp, b5.bmp, 0.641889
b4.bmp, bfs1.bmp, 0.543096
b4.bmp, bfs2.bmp, 0.531357
b4.bmp, bfs3.bmp, 0.548609
