file1, file2, similarity
b1.bmp, b2.bmp, 0.939822
b1.bmp, b3.bmp, 0.932646
b1.bmp, b4.bmp, 0.93883
b1.bmp, b5.bmp, 0.640043
b1.bmp, i1.bmp, 0.652687
b1.bmp, i2.bmp, 0.653768
b1.bmp, i3.bmp, 0.692682
b1.bmp, i4.bmp, 0.671362
b1.bmp, i5.bmp, 0.675024
b2.bmp, b3.bmp, 0.990366
b2.bmp, b4.bmp, 0.995772
b2.bmp, b5.bmp, 0.643796
b2.bmp, i1.bmp, 0.652888
b2.bmp, i2.bmp, 0.664938
b2.bmp, i3.bmp, 0.692186
b2.bmp, i4.bmp, 0.684049
b2.bmp, i5.bmp, 0.676134
b3.bmp, b4.bmp, 0.989521
b3.bmp, b5.bmp, 0.637467
b3.bmp, i1.bmp, 0.659254
b3.bmp, i2.bmp, 0.671208
b3.bmp, i3.bmp, 0.698395
b3.bmp, i4.bmp, 0.69042
b3.bmp, i5.bmp, 0.682511
b4.bmp, b5.bmp, 0.643774
b4.bmp, i1.bmp, 0.653113
b4.bmp, i2.bmp, 0.665066
b4.bmp, i3.bmp, 0.692306
b4.bmp, i4.bmp, 0.68431
b4.bmp, i5.bmp, 0.67642
b5.bmp, i1.bmp, 0.654607
b5.bmp, i2.bmp, 0.642131
b5.bmp, i3.bmp, 0.632335
b5.bmp, i4.bmp, 0.658512
b5.bmp, i5.bmp, 0.639815
i1.bmp, i2.bmp, 0.905966
i1.bmp, i3.bmp, 0.699512
i1.bmp, i4.bmp, 0.918999
i1.bmp, i5.bmp, 0.893149
i2.bmp, i3.bmp, 0.698992
i2.bmp, i4.bmp, 0.932753
i2.bmp, i5.bmp, 0.90011
i3.bmp, i4.bmp, 0.699445
i3.bmp, i5.bmp, 0.703565
i4.bmp, i5.bmp, 0.928879
