file1, file2, similarity
0_resized.bmp, 1_resized.bmp, 0.515625
0_resized.bmp, 10_resized.bmp, 0.46875
0_resized.bmp, 11_resized.bmp, 0.546875
0_resized.bmp, 12_resized.bmp, 0.453125
0_resized.bmp, 13_resized.bmp, 0.4375
0_resized.bmp, 14_resized.bmp, 0.484375
0_resized.bmp, 2_resized.bmp, 0.6875
0_resized.bmp, 3_resized.bmp, 0.546875
0_resized.bmp, 4_resized.bmp, 0.5625
0_resized.bmp, 5_resized.bmp, 0.4375
0_resized.bmp, 6_resized.bmp, 0.375
0_resized.bmp, 7_resized.bmp, 0.453125
0_resized.bmp, 8_resized.bmp, 0.484375
0_resized.bmp, 9_resized.bmp, 0.609375
1_resized.bmp, 10_resized.bmp, 0.515625
1_resized.bmp, 11_resized.bmp, 0.5
1_resized.bmp, 12_resized.bmp, 0.46875
1_resized.bmp, 13_resized.bmp, 0.515625
1_resized.bmp, 14_resized.bmp, 0.5625
1_resized.bmp, 2_resized.bmp, 0.421875
1_resized.bmp, 3_resized.bmp, 0.59375
1_resized.bmp, 4_resized.bmp, 0.484375
1_resized.bmp, 5_resized.bmp, 0.515625
1_resized.bmp, 6_resized.bmp, 0.421875
1_resized.bmp, 7_resized.bmp, 0.59375
1_resized.bmp, 8_resized.bmp, 0.5625
1_resized.bmp, 9_resized.bmp, 0.46875
10_resized.bmp, 11_resized.bmp, 0.578125
10_resized.bmp, 12_resized.bmp, 0.578125
10_resized.bmp, 13_resized.bmp, 0.5
10_resized.bmp, 14_resized.bmp, 0.546875
10_resized.bmp, 2_resized.bmp, 0.5625
10_resized.bmp, 3_resized.bmp, 0.578125
10_resized.bmp, 4_resized.bmp, 0.46875
10_resized.bmp, 5_resized.bmp, 0.5
10_resized.bmp, 6_resized.bmp, 0.53125
10_resized.bmp, 7_resized.bmp, 0.609375
10_resized.bmp, 8_resized.bmp, 0.546875
10_resized.bmp, 9_resized.bmp, 0.484375
11_resized.bmp, 12_resized.bmp, 0.5625
11_resized.bmp, 13_resized.bmp, 0.484375
11_resized.bmp, 14_resized.bmp, 0.5
11_resized.bmp, 2_resized.bmp, 0.515625
11_resized.bmp, 3_resized.bmp, 0.53125
11_resized.bmp, 4_resized.bmp, 0.515625
11_resized.bmp, 5_resized.bmp, 0.484375
11_resized.bmp, 6_resized.bmp, 0.578125
11_resized.bmp, 7_resized.bmp, 0.65625
11_resized.bmp, 8_resized.bmp, 0.625
11_resized.bmp, 9_resized.bmp, 0.53125
12_resized.bmp, 13_resized.bmp, 0.484375
12_resized.bmp, 14_resized.bmp, 0.4375
12_resized.bmp, 2_resized.bmp, 0.640625
12_resized.bmp, 3_resized.bmp, 0.59375
12_resized.bmp, 4_resized.bmp, 0.484375
12_resized.bmp, 5_resized.bmp, 0.484375
12_resized.bmp, 6_resized.bmp, 0.546875
12_resized.bmp, 7_resized.bmp, 0.5625
12_resized.bmp, 8_resized.bmp, 0.53125
12_resized.bmp, 9_resized.bmp, 0.53125
13_resized.bmp, 14_resized.bmp, 0.546875
13_resized.bmp, 2_resized.bmp, 0.4375
13_resized.bmp, 3_resized.bmp, 0.453125
13_resized.bmp, 4_resized.bmp, 0.4375
13_resized.bmp, 5_resized.bmp, 1
13_resized.bmp, 6_resized.bmp, 0.40625
13_resized.bmp, 7_resized.bmp, 0.359375
13_resized.bmp, 8_resized.bmp, 0.484375
13_resized.bmp, 9_resized.bmp, 0.515625
14_resized.bmp, 2_resized.bmp, 0.453125
14_resized.bmp, 3_resized.bmp, 0.46875
14_resized.bmp, 4_resized.bmp, 0.578125
14_resized.bmp, 5_resized.bmp, 0.546875
14_resized.bmp, 6_resized.bmp, 0.453125
14_resized.bmp, 7_resized.bmp, 0.46875
14_resized.bmp, 8_resized.bmp, 0.46875
14_resized.bmp, 9_resized.bmp, 0.4375
2_resized.bmp, 3_resized.bmp, 0.546875
2_resized.bmp, 4_resized.bmp, 0.53125
2_resized.bmp, 5_resized.bmp, 0.4375
2_resized.bmp, 6_resized.bmp, 0.4375
2_resized.bmp, 7_resized.bmp, 0.515625
2_resized.bmp, 8_resized.bmp, 0.515625
2_resized.bmp, 9_resized.bmp, 0.546875
3_resized.bmp, 4_resized.bmp, 0.484375
3_resized.bmp, 5_resized.bmp, 0.453125
3_resized.bmp, 6_resized.bmp, 0.546875
3_resized.bmp, 7_resized.bmp, 0.625
3_resized.bmp, 8_resized.bmp, 0.5
3_resized.bmp, 9_resized.bmp, 0.46875
4_resized.bmp, 5_resized.bmp, 0.4375
4_resized.bmp, 6_resized.bmp, 0.5625
4_resized.bmp, 7_resized.bmp, 0.515625
4_resized.bmp, 8_resized.bmp, 0.515625
4_resized.bmp, 9_resized.bmp, 0.421875
5_resized.bmp, 6_resized.bmp, 0.40625
5_resized.bmp, 7_resized.bmp, 0.359375
5_resized.bmp, 8_resized.bmp, 0.484375
5_resized.bmp, 9_resized.bmp, 0.515625
6_resized.bmp, 7_resized.bmp, 0.578125
6_resized.bmp, 8_resized.bmp, 0.546875
6_resized.bmp, 9_resized.bmp, 0.421875
7_resized.bmp, 8_resized.bmp, 0.625
7_resized.bmp, 9_resized.bmp, 0.4375
8_resized.bmp, 9_resized.bmp, 0.46875
